Tiempo,CH1(V),CH2(V),N/a1,N/a2,N/a3,N/a4,N/a5
0.000704,1.979000,1.975000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.000740,1.916000,1.911000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.000780,1.891000,1.877000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.000816,1.877000,1.867000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.000852,1.896000,1.877000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.000888,1.940000,1.916000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.000928,2.009000,1.979000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.000964,2.092000,2.058000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.001000,2.190000,2.151000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.001036,2.297000,2.258000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.001076,2.410000,2.361000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.001112,2.517000,2.473000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.001148,2.620000,2.571000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.001184,2.708000,2.659000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.001224,2.776000,2.732000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.001260,2.825000,2.781000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.001296,2.849000,2.805000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.001332,2.845000,2.805000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.001372,2.810000,2.781000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.001408,2.757000,2.732000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.001444,2.678000,2.659000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.001480,2.590000,2.571000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.001520,2.483000,2.468000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.001556,2.375000,2.361000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.001592,2.258000,2.258000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.001628,2.151000,2.151000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.001668,2.058000,2.053000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.001704,1.984000,1.975000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.001740,1.921000,1.911000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.001776,1.887000,1.877000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.001816,1.877000,1.867000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.001852,1.891000,1.877000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.001888,1.935000,1.911000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
0.001924,1.999000,1.975000,0.973000,0.943000,1000.000000,0.970000,1546187136.000000
